##;ENG;FRA;ITA;SPA;GER;POL;POR;RUS;;;X;;
PROV548;ディバリングハム;;;;;;;;;;X;;
PROV549;アンカレッジ;;;;;;;;;;X;;
PROV550;セラウィカ;;;;;;;;;;X;;
PROV551;プエルト・バケリソ・モレノ;ガラパゴス;;;;;;;;;;;X
PROV552;ホワイトホース;;;;;;;;;;X;;
PROV553;ジュノー;;;;;;;;;;X;;
PROV554;フォート・セント・ジョン;;;;;;;;;;X;;
PROV555;フォート・ヴァーミリオン;;;;;;;;;;X;;
PROV556;ヴィクトリア;;;;;;;;;;X;;
PROV557;鶴山;ヘシャン;;;;;;;;;;;X
PROV558;イエローナイフ;;;;;;;;;;X;;
PROV559;桂林;グゥイリン;;;;;;;;;;;X
PROV560;ランキン・インレット;;;;;;;;;;X;;
PROV561;フィリップスブルフ;アンティル諸島;;;;;;;;;;;X
PROV562;ピンスク;;;;;;;;;;X;;
PROV563;シティア;クレタ;;;;;;;;;;;X
PROV564;フォート・ルパート;ケベック;;;;;;;;;;;X
PROV565;スーセントマリー;;;;;;;;;;X;;
PROV566;フリン・フロン;;;;;;;;;;X;;
PROV567;マリゴット;アンティル諸島;;;;;;;;;;;X
PROV568;雲浮;ユンフー;;;;;;;;;;;X
PROV569;ウィニペグ;;;;;;;;;;X;;
PROV570;肇慶;チャオチン;;;;;;;;;;;X
PROV571;フォート・ウィリアム;;;;;;;;;;X;;
PROV572;バセテール;アンティル諸島;;;;;;;;;;;X
PROV573;コックバーンタウン;カリブ;;;;;;;;;;;X
PROV574;ケベックシティ;;;;;;;;;;X;;
PROV575;ネーン;;;;;;;;;;X;;
PROV576;セントジョン;;;;;;;;;;X;;
PROV577;パネヴェジス;;;;;;;;;;X;;
PROV578;シャーロットタウン;;;;;;;;;;X;;
PROV579;ハリファックス;;;;;;;;;;X;;
PROV580;フレデリクトン;;;;;;;;;;X;;
PROV581;サン＝ピエール;;;;;;;;;;X;;
PROV582;バンゴー;;;;;;;;;;X;;
PROV583;ルイストン;;;;;;;;;;X;;
PROV584;ジョージタウン;ケイマン諸島;;;;;;;;;;;X
PROV585;モントリオール;;;;;;;;;;X;;
PROV586;ロゾー;ドミニカ/アンティル諸島;;;;;;;;;;;X
PROV587;プリマス;モントセラト/アンティル諸島;;;;;;;;;;;X
PROV588;オタワ;;;;;;;;;;X;;
PROV589;トロント;;;;;;;;;;X;;
PROV590;ハミルトン;;;;;;;;;;X;;
PROV591;キングストン;アンティル諸島;;;;;;;;;;;X
PROV592;シラキュース;;;;;;;;;;X;;
PROV593;マンドヴィー;;;;;;;;;;X;;
PROV594;バーリントン;;;;;;;;;;X;;
PROV595;コンコード;;;;;;;;;;X;;
PROV596;ウスター;;;;;;;;;;X;;
PROV597;スーラト;;;;;;;;;;X;;
PROV598;アルバニー;ニューヨーク;;;;;;;;;;;X
PROV599;カーンプル;;;;;;;;;;X;;
PROV600;ボストン;;;;;;;;;;X;;
PROV601;プロビデンス;;;;;;;;;;X;;
PROV602;ニューヨーク;;;;;;;;;;X;;
PROV603;ニューアーク;;;;;;;;;;X;;
PROV604;ハリスバーグ;;;;;;;;;;X;;
PROV605;ドーバー;デラウェア;;;;;;;;;;;X
PROV606;ワシントンD.C.;;;;;;;;;;X;;
PROV607;ボルティモア;;;;;;;;;;X;;
PROV608;フィラデルフィア;;;;;;;;;;X;;
PROV609;セントメアリー;;;;;;;;;;X;;
PROV610;スクラトン;;;;;;;;;;X;;
PROV611;コター;ラジャスタン;;;;;;;;;;;X
PROV612;バッファロー;;;;;;;;;;X;;
PROV613;フォート・ウェイン;;;;;;;;;;X;;
PROV614;ピッツバーグ;;;;;;;;;;X;;
PROV615;クリーヴランド;;;;;;;;;;X;;
PROV616;デトロイト;;;;;;;;;;X;;
PROV617;グランドラピッズ;;;;;;;;;;X;;
PROV618;アルトゥーナ;;;;;;;;;;X;;
PROV619;コロンビア;;;;;;;;;;X;;
PROV620;シカゴ;;;;;;;;;;X;;
PROV621;ミルウォーキー;;;;;;;;;;X;;
PROV622;マルケット;;;;;;;;;;X;;
PROV623;グリーンベイ;;;;;;;;;;X;;
PROV624;デモイン;;;;;;;;;;X;;
PROV625;ピオリア;;;;;;;;;;X;;
PROV626;ディケイター;;;;;;;;;;X;;
PROV627;インディアナポリス;;;;;;;;;;X;;
PROV628;コロンブス;;;;;;;;;;X;;
PROV629;クラークスバーグ;;;;;;;;;;X;;
PROV630;ハンティントン;;;;;;;;;;X;;
PROV631;インドール;;;;;;;;;;X;;
PROV632;ノーフォーク;;;;;;;;;;X;;
PROV633;リッチモンド;;;;;;;;;;X;;
PROV634;ウィルミトン;;;;;;;;;;X;;
PROV635;ラーイガル;;;;;;;;;;X;;
PROV636;ラレー;;;;;;;;;;X;;
PROV637;シャーロット;;;;;;;;;;X;;
PROV638;アーリントン;;;;;;;;;;X;;
PROV639;ロアノーク;;;;;;;;;;X;;
PROV640;レキシントン;;;;;;;;;;X;;
PROV641;ルイスヴィル;;;;;;;;;;X;;
PROV642;ノックスビル;;;;;;;;;;X;;
PROV643;アッシュヴィル;;;;;;;;;;X;;
PROV644;チャールストン;;;;;;;;;;X;;
PROV645;グリーンビル;;;;;;;;;;X;;
PROV646;サヴァンナ;;;;;;;;;;X;;
PROV647;マコン;;;;;;;;;;X;;
PROV648;ジャクソンヴィル;;;;;;;;;;X;;
PROV649;タンパ;;;;;;;;;;X;;
PROV650;オーランド;;;;;;;;;;X;;
PROV651;マイアミ;;;;;;;;;;X;;
PROV652;ナッソー;バハマ;;;;;;;;;;;X
PROV653;エルムポリ;キクラデス諸島;;;;;;;;;;;X
PROV654;サン・クリストバル・デ・ラ・ハバナ;;;;;;;;;;X;;
PROV655;サンタクララ;;;;;;;;;;X;;
PROV656;カマグエイ;;;;;;;;;;X;;
PROV657;サンチアゴ・デ・クーバ;;;;;;;;;;X;;
PROV658;ヒロ;ハワイ;;;;;;;;;;;X
PROV659;カフルイ;ハワイ;;;;;;;;;;;X
PROV660;リフエ;ハワイ;;;;;;;;;;;X
PROV661;ルンバン;;;;;;;;;;X;;
PROV662;ミッドウェー;;;;;;;;;;X;;
PROV663;ホノルル;;;;;;;;;;X;;
PROV664;コルチャ;;;;;;;;;;X;;
PROV665;シュコドラ;;;;;;;;;;X;;
PROV666;トリエステ;;;;;;;;;;X;;
PROV667;ラプラタ;;;;;;;;;;X;;
PROV668;ウーディネ;;;;;;;;;;X;;
PROV669;ブルハーンプル;;;;;;;;;;X;;
PROV670;アトランタ;;;;;;;;;;X;;
PROV671;ナッシュビル;;;;;;;;;;X;;
PROV672;モンゴメリー;アラバマ;;;;;;;;;;;X
PROV673;メンフィス;;;;;;;;;;X;;
PROV674;崇左;チョンズオ;;;;;;;;;;;X
PROV675;ジャクソン;;;;;;;;;;X;;
PROV676;ペンサコーラ;;;;;;;;;;X;;
PROV677;タラハシー;;;;;;;;;;X;;
PROV678;モービル;;;;;;;;;;X;;
PROV679;ニューオリンズ;;;;;;;;;;X;;
PROV680;ラファイエット;ルイジアナ;;;;;;;;;;;X
PROV681;シュリーブポート;ルイジアナ;;;;;;;;;;;X
PROV682;モンロー;;;;;;;;;;X;;
PROV683;リトルロック;;;;;;;;;;X;;
PROV684;ジョーンズボロ;アーカンソー;;;;;;;;;;;X
PROV685;デヘラードゥーン;;;;;;;;;;X;;
PROV686;オースティン;テキサス;;;;;;;;;;;X
PROV687;シムラ;;;;;;;;;;X;;
PROV688;プリングフィールド ;ミズーリ;;;;;;;;;;;X
PROV689;セントルイス;;;;;;;;;;X;;
PROV690;セントジョセフ;ミズーリ;;;;;;;;;;;X
PROV691;シーダーラピッツ;;;;;;;;;;X;;
PROV692;アップルトン;;;;;;;;;;X;;
PROV693;ロチェスター;ミネソタ;;;;;;;;;;;X
PROV694;セントポール;ミネソタ;;;;;;;;;;;X
PROV695;徳保;ドゥーバオ;;;;;;;;;;;X
PROV696;広州湾租借地;;;;;;;;;;X;;
PROV697;アウランガーバード;;;;;;;;;;X;;
PROV698;ファーゴ;;;;;;;;;;X;;
PROV699;ビスマルク;;;;;;;;;;X;;
PROV700;ドーハ;;;;;;;;;;X;;
PROV701;ボーズマン;モンタナ;;;;;;;;;;;X
PROV702;ラーヤチュール;;;;;;;;;;X;;
PROV703;ソーラープル;;;;;;;;;;X;;
PROV704;キャスパー;;;;;;;;;;X;;
PROV705;ビリングス;;;;;;;;;;X;;
PROV706;グレンウッド・スプリングス;コロラド;;;;;;;;;;;X
PROV707;デンヴァー;;;;;;;;;;X;;
PROV708;グランドジャンクション;;;;;;;;;;X;;
PROV709;コロラドスプリングス;コロラド;;;;;;;;;;;X
PROV710;アルビール;;;;;;;;;;X;;
PROV711;タイラー;テキサス;;;;;;;;;;;X
PROV712;プエブロ;;;;;;;;;;X;;
PROV713;ロートン;;;;;;;;;;X;;
PROV714;ジャバルプル;;;;;;;;;;X;;
PROV715;ダラス;;;;;;;;;;X;;
PROV716;ヒューストン;;;;;;;;;;X;;
PROV717;サンアントニオ;;;;;;;;;;X;;
PROV718;エルパソ;;;;;;;;;;X;;
PROV719;ラボック;;;;;;;;;;X;;
PROV720;玉林;ユーリン;;;;;;;;;;;X
PROV721;アマリロ;;;;;;;;;;X;;
PROV722;ボーパール;;;;;;;;;;X;;
PROV723;ダビッド;パナマ;;;;;;;;;;;X
PROV724;ロズウェル;;;;;;;;;;X;;
PROV725;サンタフェ;;;;;;;;;;X;;
PROV726;プネー;;;;;;;;;;X;;
PROV727;アルバカーキ;;;;;;;;;;X;;
PROV728;フェニックス;;;;;;;;;;X;;
PROV729;ワランガル;;;;;;;;;;X;;
PROV730;ツーソン;;;;;;;;;;X;;
PROV731;フラッグスタッフ;アリゾナ;;;;;;;;;;;X
PROV732;ロックスプリングス;ニューメキシコ;;;;;;;;;;;X
PROV733;ソルトレイクシティ;;;;;;;;;;X;;
PROV734;ラスヴェガス;;;;;;;;;;X;;
PROV735;サンバーナーディーノ;カリフォルニア;;;;;;;;;;;X
PROV736;ダラムシャーラー;;;;;;;;;;X;;
PROV737;ティフアナ;メキシコ;;;;;;;;;;;X
PROV738;グアダラハラ;メキシコ;;;;;;;;;;;X
PROV739;エルモシージョ;;;;;;;;;;X;;
PROV740;シウダー・フアレス;;;;;;;;;;X;;
PROV741;プエブラ;;;;;;;;;;X;;
PROV742;サルティーヨ;;;;;;;;;;X;;
PROV743;クリアカン;;;;;;;;;;X;;
PROV744;アグアスカリエンテス;;;;;;;;;;X;;
PROV745;モンレテー;;;;;;;;;;X;;
PROV746;三亜;サンヤー/海南島;;;;;;;;;;;X
PROV747;レオン;;;;;;;;;;X;;
PROV748;コーパスクリスティ;テキサス;;;;;;;;;;;X
PROV749;マタモロス;;;;;;;;;;X;;
PROV750;モレリア;;;;;;;;;;X;;
PROV751;アカプルコ;;;;;;;;;;X;;
PROV752;メキシコシティ;;;;;;;;;;X;;
PROV753;ベラクルス;;;;;;;;;;X;;
PROV754;オアハカ;;;;;;;;;;X;;
PROV755;トゥストラ・グティエレス;;;;;;;;;;X;;
PROV756;メリダ;;;;;;;;;;X;;
PROV757;グアテマラシティ;;;;;;;;;;X;;
PROV758;ベリーズシティ;;;;;;;;;;X;;
PROV759;サンサルバドル;;;;;;;;;;X;;
PROV760;テグシガルパ;;;;;;;;;;X;;
PROV761;サンディエゴ;;;;;;;;;;X;;
PROV762;ロスアンジェルス;;;;;;;;;;X;;
PROV763;フレズノ;;;;;;;;;;X;;
PROV764;サクラメント;;;;;;;;;;X;;
PROV765;サンフランシスコ;;;;;;;;;;X;;
PROV766;レディング;;;;;;;;;;X;;
PROV767;セントジョージ;;;;;;;;;;X;;
PROV768;レノ;;;;;;;;;;X;;
PROV769;ニザマバード;;;;;;;;;;X;;
PROV770;アイダホ・フォールズ;;;;;;;;;;X;;
PROV771;ナルゴンダ;;;;;;;;;;X;;
PROV772;ミズーラ;;;;;;;;;;X;;
PROV773;コインバトール;;;;;;;;;;X;;
PROV774;セーラム;;;;;;;;;;X;;
PROV775;マイソール;;;;;;;;;;X;;
PROV776;ボイシ;アイダホ;;;;;;;;;;;X
PROV777;ポンディシェリ;;;;;;;;;;X;;
PROV778;メドフォード;オクラホマ;;;;;;;;;;;X
PROV779;ヤキマ;ワシントン;;;;;;;;;;;X
PROV780;シアトル;;;;;;;;;;X;;
PROV781;アディラーバード;;;;;;;;;;X;;
PROV782;タコマ;;;;;;;;;;X;;
PROV783;ポートランド;;;;;;;;;;X;;
PROV784;ベンド;オレゴン;;;;;;;;;;;X
PROV785;ナーグプル;;;;;;;;;;X;;
PROV786;ユージン;;;;;;;;;;X;;
PROV787;ラピッドシティ;;;;;;;;;;X;;
PROV788;シューフォールズ;;;;;;;;;;X;;
PROV789;リンカーン;ネブラスカ;;;;;;;;;;;X
PROV790;オマハ;;;;;;;;;;X;;
PROV791;バランギル;;;;;;;;;;X;;
PROV792;カンザスシティ;ミズーリ;;;;;;;;;;;X
PROV793;オクラホマシティ;;;;;;;;;;X;;
PROV794;シャーロット・アマリー;ヴァージン諸島;;;;;;;;;;;X
PROV795;バレー;アンティル諸島;;;;;;;;;;;X
PROV796;エドモントン;;;;;;;;;;X;;
PROV797;カルガリー;;;;;;;;;;X;;
PROV798;サスカトゥーン;;;;;;;;;;X;;
PROV799;レジーナ;;;;;;;;;;X;;
PROV800;グリーンランド;;;;;;;;;;X;;
PROV801;ウィレムスタッド;カリブ;;;;;;;;;;;X
PROV802;バルキシメト;;;;;;;;;;X;;
PROV803;ククタ;;;;;;;;;;X;;
PROV804;マラカイボ;;;;;;;;;;X;;
PROV805;カストリーズ;セントルシア/アンティル諸島;;;;;;;;;;;X
PROV806;セントジョージス;アンティル諸島;;;;;;;;;;;X
PROV807;ブリッジタウン;アンティル諸島;;;;;;;;;;;X
PROV808;スカボロー;アンティル諸島;;;;;;;;;;;X
PROV809;ポートオブスペイン;アンティル諸島;;;;;;;;;;;X
PROV810;マトゥリン;;;;;;;;;;X;;
PROV811;バリナス;;;;;;;;;;X;;
PROV812;ボゴタ;;;;;;;;;;X;;
PROV813;メデリン;;;;;;;;;;X;;
PROV814;グアヤキル;;;;;;;;;;X;;
PROV815;キト;;;;;;;;;;X;;
PROV816;トルヒーヨ;;;;;;;;;;X;;
PROV817;プジョ;エクアドル;;;;;;;;;;;X
PROV818;イキトス;;;;;;;;;;X;;
PROV819;フロレンシア;;;;;;;;;;X;;
PROV820;マナカプル;ブラジル;;;;;;;;;;;X
PROV821;プカルパ;;;;;;;;;;X;;
PROV822;リオブランコ;;;;;;;;;;X;;
PROV823;テフェ;;;;;;;;;;X;;
PROV824;ポルト・ヴェーリョ;;;;;;;;;;X;;
PROV825;マラバ;;;;;;;;;;X;;
PROV826;レシフェ;;;;;;;;;;X;;
PROV827;サンタクルーズ;;;;;;;;;;X;;
PROV828;コビハ;;;;;;;;;;X;;
PROV829;クスコ;;;;;;;;;;X;;
PROV830;リマ;;;;;;;;;;X;;
PROV831;アレキパ;;;;;;;;;;X;;
PROV832;ラパス;;;;;;;;;;X;;
PROV833;サルト;ウルグアイ;;;;;;;;;;;X
PROV834;クイアバ;;;;;;;;;;X;;
PROV835;カンポ・グランデ;;;;;;;;;;X;;
PROV836;トリニダ;ボリビア;;;;;;;;;;;X
PROV837;ビジャ・アジェス;パラグアイ;;;;;;;;;;;X
PROV838;スクレ;;;;;;;;;;X;;
PROV839;イキケ;チリ;;;;;;;;;;;X
PROV840;アントファガスタ;;;;;;;;;;X;;
PROV841;ヴェルダン;;;;;;;;;;X;;
PROV842;プンタアレナス;;;;;;;;;;X;;
PROV843;サルタ;;;;;;;;;;X;;
PROV844;レシステンシア;;;;;;;;;;X;;
PROV845;ロサリオ;;;;;;;;;;X;;
PROV846;アスンシオン;パラグアイ;;;;;;;;;;;X
PROV847;クリチバ;;;;;;;;;;X;;
PROV848;ポルト・アレグレ;;;;;;;;;;X;;
PROV849;モンテビデオ;;;;;;;;;;X;;
PROV850;コリエンテス;;;;;;;;;;X;;
PROV851;ブエノスアイレス;;;;;;;;;;X;;
PROV852;コルドバ;;;;;;;;;;X;;
PROV853;サン・ミゲル・デ・トゥクマン;;;;;;;;;;X;;
PROV854;メンドーサ;;;;;;;;;;X;;
PROV855;サンフアン;;;;;;;;;;X;;
PROV856;バルパライソ;チリ;;;;;;;;;;;X
PROV857;マル・デル・プラタ;;;;;;;;;;X;;
PROV858;リオ・ガジェーゴス;;;;;;;;;;X;;
PROV859;コモドロ・リバダビア;;;;;;;;;;X;;
PROV860;サンティアゴ;チリ;;;;;;;;;;;X
PROV861;タルカワノ;チリ;;;;;;;;;;;X
PROV862;ネウケン;;;;;;;;;;X;;
PROV863;ウシュアイア;;;;;;;;;;X;;
PROV864;テムコ;チリ;;;;;;;;;;;X
PROV865;ベンセレーモス;チリ;;;;;;;;;;;X
PROV866;スタンレー;フォークランド諸島;;;;;;;;;;;X
PROV867;ビヤビセンシオ;;;;;;;;;;X;;
PROV868;カリ;;;;;;;;;;X;;
PROV869;シウダードボリバル;;;;;;;;;;X;;
PROV870;カラカス;;;;;;;;;;X;;
PROV871;バルティカ;ガイアナ;;;;;;;;;;;X
PROV872;マナウス;;;;;;;;;;X;;
PROV873;ジョージタウン;ガイアナ;;;;;;;;;;;X
PROV874;パラマリボ;;;;;;;;;;X;;
PROV875;カイエンヌ;;;;;;;;;;X;;
PROV876;テレジーナ;;;;;;;;;;X;;
PROV877;ベレン;;;;;;;;;;X;;
PROV878;バレイラス;;;;;;;;;;X;;
PROV879;サン・ルイス;;;;;;;;;;X;;
PROV880;フォルタレーザ;;;;;;;;;;X;;
PROV881;ナタール;;;;;;;;;;X;;
PROV882;サルバドール;;;;;;;;;;X;;
PROV883;ゴイアス;;;;;;;;;;X;;
PROV884;ヴィートリア;;;;;;;;;;X;;
PROV885;リオデジャネイロ;;;;;;;;;;X;;
PROV886;サンパウロ;;;;;;;;;;X;;
PROV887;ベロ・オリゾンテ;;;;;;;;;;X;;
PROV888;パナマ市;;;;;;;;;;X;;
PROV889;バルボア;パナマ運河;;;;;;;;;;;X
PROV890;バランキヤ;;;;;;;;;;X;;
PROV891;キングストン;ジャマイカ;;;;;;;;;;;X
PROV892;ポルトープランス;;;;;;;;;;X;;
PROV893;シウダー・トルヒーヨ;サントドミンゴ;;;;;;;;;;;X
PROV894;グァンタナモ海軍基地;;;;;;;;;;X;;
PROV895;サンフアン;プエルトリコ;;;;;;;;;;;X
PROV896;ロードタウン;ヴァージン諸島;;;;;;;;;;;X
PROV897;セントジョージズ;アンティル諸島;;;;;;;;;;;X
PROV898;バステール;アンティル諸島;;;;;;;;;;;X
PROV899;フォール＝ド＝フランス;アンティル諸島;;;;;;;;;;;X
PROV900;ポートサイド;;;;;;;;;;X;;
PROV901;スエズ;;;;;;;;;;X;;
PROV902;ディムヤート;;;;;;;;;;X;;
PROV903;カイロ;;;;;;;;;;X;;
PROV904;ギザ;;;;;;;;;;X;;
PROV905;アルファイユーム;;;;;;;;;;X;;
PROV906;タンタ;;;;;;;;;;X;;
PROV907;アレクサンドリア;;;;;;;;;;X;;
PROV908;ベセル;;;;;;;;;;X;;
PROV909;アルカラー;;;;;;;;;;X;;
PROV910;エルアラメイン;;;;;;;;;;X;;
PROV911;シディ・アブドラ・ラマン;;;;;;;;;;X;;
PROV912;モハラ;;;;;;;;;;X;;
PROV913;シーワ;;;;;;;;;;X;;
PROV914;マルサマトルーフ;;;;;;;;;;X;;
PROV915;シディバラニ;;;;;;;;;;X;;
PROV916;カプッツォ砦;;;;;;;;;;X;;
PROV917;アルジャグバブ;;;;;;;;;;X;;
PROV918;マダレーナ砦;;;;;;;;;;X;;
PROV919;バルディーヤ;;;;;;;;;;X;;
PROV920;トブルク;;;;;;;;;;X;;
PROV921;メキリ;;;;;;;;;;X;;
PROV922;ムスス;;;;;;;;;;X;;
PROV923;ダルナ;;;;;;;;;;X;;
PROV924;ベンガジ;;;;;;;;;;X;;
PROV925;アゲダビア;;;;;;;;;;X;;
PROV926;ジャルー;;;;;;;;;;X;;
PROV927;マラーダ;;;;;;;;;;X;;
PROV928;ハウン;;;;;;;;;;X;;
PROV929;サート;;;;;;;;;;X;;
PROV930;ミスラータ;;;;;;;;;;X;;
PROV931;ガダメス;;;;;;;;;;X;;
PROV932;トリポリ;リビア;;;;;;;;;;;X
PROV933;サブラタ;;;;;;;;;;X;;
PROV934;ガフサ;;;;;;;;;;X;;
PROV935;タタウイヌ;;;;;;;;;;X;;
PROV936;スファックス;;;;;;;;;;X;;
PROV937;ケフ;;;;;;;;;;X;;
PROV938;スース;;;;;;;;;;X;;
PROV939;チュニス;;;;;;;;;;X;;
PROV940;ビゼルト;;;;;;;;;;X;;
PROV941;ベジャ;;;;;;;;;;X;;
PROV942;コンスタンティーヌ;;;;;;;;;;X;;
PROV943;バトナ;;;;;;;;;;X;;
PROV944;ジェルファ;;;;;;;;;;X;;
PROV945;アンナバ;;;;;;;;;;X;;
PROV946;ブジー;;;;;;;;;;X;;
PROV947;ラグアット;;;;;;;;;;X;;
PROV948;トゥーグラ;;;;;;;;;;X;;
PROV949;アルジェ;;;;;;;;;;X;;
PROV950;オラン;;;;;;;;;;X;;
PROV951;ウアルグラ;;;;;;;;;;X;;
PROV952;ガダメス;;;;;;;;;;X;;
PROV953;トレムセン;;;;;;;;;;X;;
PROV954;メリーリャ;;;;;;;;;;X;;
PROV955;テトゥアン;;;;;;;;;;X;;
PROV956;ウジダ;;;;;;;;;;X;;
PROV957;セウタ;;;;;;;;;;X;;
PROV958;ラバト;;;;;;;;;;X;;
PROV959;フェズ;;;;;;;;;;X;;
PROV960;カサブランカ;;;;;;;;;;X;;
PROV961;セゴビア;;;;;;;;;;X;;
PROV962;サラマンカ;;;;;;;;;;X;;
PROV963;ラス・パルマス・デ・グラン・カナリア;;;;;;;;;;X;;
PROV964;サンタ・クルス・デ・テネリフェ;;;;;;;;;;X;;
PROV965;コヴィリャン;;;;;;;;;;X;;
PROV966;マラケシュ;;;;;;;;;;X;;
PROV967;イフニ;;;;;;;;;;X;;
PROV968;ウェッザーン;;;;;;;;;;X;;
PROV969;ブーアルファ;;;;;;;;;;X;;
PROV970;ダルムシュタット;;;;;;;;;;X;;
PROV971;エルアイウン;;;;;;;;;;X;;
PROV972;ダフラ;;;;;;;;;;X;;
PROV973;ヌアクショット;;;;;;;;;;X;;
PROV974;キファ;;;;;;;;;;X;;
PROV975;マセル;;;;;;;;;;X;;
PROV976;ガオ;;;;;;;;;;X;;
PROV977;トゥンブクトゥ;;;;;;;;;;X;;
PROV978;モプティ;;;;;;;;;;X;;
PROV979;シカソ;;;;;;;;;;X;;
PROV980;ニオロドサエル;;;;;;;;;;X;;
PROV981;ダカール;;;;;;;;;;X;;
PROV982;バンジュール;;;;;;;;;;X;;
PROV983;ビサオ;;;;;;;;;;X;;
PROV984;ジガンショール;;;;;;;;;;X;;
PROV985;カイ;;;;;;;;;;X;;
PROV986;セグー;;;;;;;;;;X;;
PROV987;コナクリ;;;;;;;;;;X;;
PROV988;フリータウン;;;;;;;;;;X;;
PROV989;ハイルブロン;;;;;;;;;;X;;
PROV990;ラベ;;;;;;;;;;X;;
PROV991;カンカン;;;;;;;;;;X;;
PROV992;モンロヴィア;;;;;;;;;;X;;
PROV993;アビジャン;;;;;;;;;;X;;
PROV994;バマコ;;;;;;;;;;X;;
PROV995;ヤムスクロ;;;;;;;;;;X;;
PROV996;ボボデュラッソ;;;;;;;;;;X;;
PROV997;ワガドゥグ;;;;;;;;;;X;;
PROV998;サイ;;;;;;;;;;X;;
PROV999;ソコト;;;;;;;;;;X;;
PROV1000;タマレ;;;;;;;;;;X;;
PROV1001;ホー;;;;;;;;;;X;;
PROV1002;アクラ;;;;;;;;;;X;;
PROV1003;ロメ;;;;;;;;;;X;;
PROV1004;バサリ;;;;;;;;;;X;;
PROV1005;ナティティング;;;;;;;;;;X;;
PROV1006;コトヌー;;;;;;;;;;X;;
PROV1007;カドゥナ;;;;;;;;;;X;;
PROV1008;ラゴス;;;;;;;;;;X;;
PROV1009;カノ;;;;;;;;;;X;;
PROV1010;アブジャ;;;;;;;;;;X;;
PROV1011;ポートハーコート;;;;;;;;;;X;;
PROV1012;ガシャカ;;;;;;;;;;X;;
PROV1013;タマンラセット;;;;;;;;;;X;;
PROV1014;カールスルーエ;;;;;;;;;;X;;
PROV1015;マインツ;;;;;;;;;;X;;
PROV1016;トリーア;;;;;;;;;;X;;
PROV1017;ジャウフ;;;;;;;;;;X;;
PROV1018;コブレンツ;;;;;;;;;;X;;
PROV1019;ユトレヒト;;;;;;;;;;X;;
PROV1020;ナヒード;;;;;;;;;;X;;
PROV1021;ファラフラ;;;;;;;;;;X;;
PROV1022;ナンシー;;;;;;;;;;X;;
PROV1023;ミンヤ;;;;;;;;;;X;;
PROV1024;アシュート;;;;;;;;;;X;;
PROV1025;クセイル;;;;;;;;;;X;;
PROV1026;アスワン;;;;;;;;;;X;;
PROV1027;ハルガ;;;;;;;;;;X;;
PROV1028;ワディハルファ;;;;;;;;;;X;;
PROV1029;ドンゴラ;;;;;;;;;;X;;
PROV1030;ポートスーダン;;;;;;;;;;X;;
PROV1031;カッサラ;;;;;;;;;;X;;
PROV1032;オムドゥルマン;;;;;;;;;;X;;
PROV1033;マッサワ;;;;;;;;;;X;;
PROV1034;タルファヤ;;;;;;;;;;X;;
PROV1035;ハルゲイサ;;;;;;;;;;X;;
PROV1036;フンシャル;;;;;;;;;;X;;
PROV1037;ジブチ;;;;;;;;;;X;;
PROV1038;アッサブ;;;;;;;;;;X;;
PROV1039;アスマラ;;;;;;;;;;X;;
PROV1040;ガラバト;;;;;;;;;;X;;
PROV1041;ワドメダニ;;;;;;;;;;X;;
PROV1042;デブラマルコス;;;;;;;;;;X;;
PROV1043;ゴンダール;;;;;;;;;;X;;
PROV1044;デジエ;;;;;;;;;;X;;
PROV1045;ジマ;;;;;;;;;;X;;
PROV1046;アディスアベバ;;;;;;;;;;X;;
PROV1047;アルバミンチ;;;;;;;;;;X;;
PROV1048;マイチュウ;;;;;;;;;;X;;
PROV1049;アディグラト;;;;;;;;;;X;;
PROV1050;ディレダワ;;;;;;;;;;X;;
PROV1051;ハラール;;;;;;;;;;X;;
PROV1052;アワサ;;;;;;;;;;X;;
PROV1053;ドロ・オド;;;;;;;;;;X;;
PROV1054;ゴデ;;;;;;;;;;X;;
PROV1055;バイドア;;;;;;;;;;X;;
PROV1056;モガディシュ;;;;;;;;;;X;;
PROV1057;ボル;;;;;;;;;;X;;
PROV1058;キスマヨ;;;;;;;;;;X;;
PROV1059;ナクル;;;;;;;;;;X;;
PROV1060;ナイロビ;;;;;;;;;;X;;
PROV1061;モンバサ;;;;;;;;;;X;;
PROV1062;ムワンザ;;;;;;;;;;X;;
PROV1063;キガリ;;;;;;;;;;X;;
PROV1064;カンパラ;;;;;;;;;;X;;
PROV1065;ジュバ;;;;;;;;;;X;;
PROV1066;ハルツーム;;;;;;;;;;X;;
PROV1067;エルアトルン;;;;;;;;;;X;;
PROV1068;ニャラ;;;;;;;;;;X;;
PROV1069;ワウ;;;;;;;;;;X;;
PROV1070;バンガスー;;;;;;;;;;X;;
PROV1071;スタンリーヴィル;;;;;;;;;;X;;
PROV1072;アバ;;;;;;;;;;X;;
PROV1073;コスターマンヴィル;;;;;;;;;;X;;
PROV1074;コキアットヴィル;;;;;;;;;;X;;
PROV1075;ブラザヴィル;;;;;;;;;;X;;
PROV1076;ウエッソ;;;;;;;;;;X;;
PROV1077;エボロワ;;;;;;;;;;X;;
PROV1078;バングイ;;;;;;;;;;X;;
PROV1079;ムンドゥ;;;;;;;;;;X;;
PROV1080;ンジャメナ;;;;;;;;;;X;;
PROV1081;ファヤ;;;;;;;;;;X;;
