##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;エラー:510;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;2) '%d' is for indicating where another integer value is inserted, and MAY NEVER BE REMOVED! If there are more than one '%d' in a string, they may not change places. ('%.1f' is used in exactly the same way but for non-integer values ?  '%c%d' is used for values that are displayed with a '+' or '-' sign in front, DO NOT CHANGE, ADD, OR REMOVE!);;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;4) The characters '#' (hashmark), semicolon, '%' (percentage sign), '?' (paragraph sign), quotation marks and '\' (backslash) MAY NOT BE USED (except when used as control codes ? this will otherwise create serious problems!!! Quotation marks may not even be used in comments -- use a 'citation mark' (single) instead if necessary!);;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;ｧW = white text;;;;;;;;;;X
##;ｧY = orange text;;;;;;;;;;X
##;Note that the color change will be applied to all words after the code, until the end of the line that the word is printed on. If several words should have a color change, put the code in front of each of them to be on the safe side. If only one word should have a color change, make sure to reset the color after the word.;;;;;;;;;;X
##;9) Unless otherwise specifically stated, length of words and texts does not really matter THAT much (message boxes, rollover help boxes and buttons WILL stretch to fit the text string) ? however you will notice once the translation is inserted that space IS limited in quite a few areas? so be brief, and try not to use words that are considerably longer than the english original.;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not not exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;エラー:510;エラー:510;エラー:510;エラー:510;エラー:510;エラー:510;エラー:510;エラー:510;;エラー:510;X
BUTTON_DIP;外交;Diplomacy;;;;;;;;;X
BUTTON_LEDGER;統計データ;Statistics;;;;;;;;;X
BUTTON_ECO;「経済」マップモード;Economic Mapmode;;;;;;;;;X
BUTTON_WEATHER;「天候」マップモード;Weather Mapmode;;;;;;;;;X
BUTTON_0098;都市のエディット;Edit Cities;;;;;;;;;X
BUTTON_0100;港のエディット;Edit Ports;;;;;;;;;X
BUTTON_0102;ユニットのエディット;Edit Units;;;;;;;;;X
BUTTON_0104;砂浜のエディット;Edit Beaches;;;;;;;;;X
BUTTON_0106;要塞のエディット;Edit Fort;;;;;;;;;X
BUTTON_0108;対空砲のエディット;Edit AA;;;;;;;;;X
##;;;;;;;;;;;X
CLOSE;閉じる;CLOSE;;;;;;;;;X
##;;;;;;;;;;;X
#  PEACE OFFER WINDOW;;;;;;;;;;;X
##;;;;;;;;;;;X
POLEADER;同盟国の指導者としての%s;%s as LEADER of alliance;;;;;;;;;X
PONATION;%sのみ（単独和平）;%s ALONE (separate peace);;;;;;;;;X
##;;;;;;;;;;;X
# NOTE: POPROLLPROV is a rollover help where the first %s is the name of a province, and the second %s is either string PORPOLLDEMAND or POPROLLOFFER.;;;;;;;;;;;X
POROLLPROV;%sを%sから除外;Remove %s from %s.;;;;;;;;;X
POROLLDEMAND;和平の要求;the peace demand;;;;;;;;;X
POROLLOFFER;和平の提案;the peace offer;;;;;;;;;X
##;;;;;;;;;;;X
POROLLDEMPROV;%sの献上を要求。;Demand %s in tribute.;;;;;;;;;X
POROLLOFFPROV;%sを献上。;Offer %s in tribute.;;;;;;;;;X
# Wardescriptions;;;;;;;;;;;X
WARDESC_OCCUPIED;－%d：彼らは%sを占領しています。\n;-%d: They occupy %s.\n;;;;;;;;;X
WARDESC_LIBERATED;＋%d：我が国は%sを占領しています。\n;+%d: We occupy %s.\n;;;;;;;;;X
WARDESC_BATTLE;%d： %s と交戦中\n;%d: Battles with %s\n;;;;;;;;;X
WARDESC_ALLIANCE;%d：同盟と交戦中\n;%d: Battles with the alliance\n;;;;;;;;;X
##;;;;;;;;;;;X
#  LEADER TYPES ? note: not rank but 'type';;;;;;;;;;;X
##;;;;;;;;;;;X
GENERAL;陸将;General;;;;;;;;;X
ADMIRAL;海将;Admiral;;;;;;;;;X
##;;;;;;;;;;;X
#  DYNAMIC UNIT DESIGNATIONS;;;;;;;;;;;X
##;;;;;;;;;;;X
UNITNAMESQUADRON;戦隊;Squadron;;;;;;;;;X
UNITNAMEAIRFLEET;飛行隊;Squadron;;;;;;;;;X
UNITNAMEFLEET;艦隊;Fleet;;;;;;;;;X
UNITNAMECORPS;軍団;Corps;;;;;;;;;X
UNITNAMEARMY;軍;Army;;;;;;;;;X
##;;;;;;;;;;;X
INVINCIBLE;無敵;Invincible;;;;;;;;;X
VERYSTRONG;剛勇;Very Strong;;;;;;;;;X
STRONG;精強;Strong;;;;;;;;;X
DISCIPLINED;整然;Disciplined;;;;;;;;;X
WEAK;弱小;Weak;;;;;;;;;X
BREAKING;遁走寸前;Breaking;;;;;;;;;X
PANIC;パニック;Panic;;;;;;;;;X
##;;;;;;;;;;;X
NIWNTP;TC： %d/%d;TC: %d/%d;;;;;;;;;X
##;;;;;;;;;;;X
#  UNIT INFORMATION WINDOWS;;;;;;;;;;;X
##;;;;;;;;;;;X
EXP_SEND;%sを派遣;Send %s;;;;;;;;;X
##;;;;;;;;;;;X
DIPROL_COST;交渉には資金%.fが必要です。;We lack the %.f funds we require.;;;;;;;;;X
##;;;;;;;;;;;X
DIPROL_NO_INSTANT;（外交官移動中）;(Diplomat en route);;;;;;;;;X
##;;;;;;;;;;;X
LEAVECURRENT;（注意：現在結んでいる同盟から脱退することになります。）;(Please note that you will leave your current alliance.);;;;;;;;;X
DIPROL_INV77;傀儡政権は他国にいかなる同盟も提案することができません。;A puppet can not invite anyone to any alliances.;;;;;;;;;X
DIPROL_INV99;同盟の盟主しか新しいメンバーを同盟に誘うことができません。;Only a leader of an alliance may invite new members to it.;;;;;;;;;X
DIPROL_SE_2;同盟国に遠征軍を送ることのみ可能です。;You may only send expeditionary forces to your allies.;;;;;;;;;X
INV_DEM;%sが領土の一部を要求しています。;%s is demanding parts of your territory.;;;;;;;;;X
PEACETERM_PROV2;%s (-> %s );%s (->%s);;;;;;;;;X
##;;;;;;;;;;;X
TREATY_PEACE;和平;Peace;;;;;;;;;X
TREATY_NON_AGGRESSION;不可侵条約;Non-Aggression Pact;;;;;;;;;X
TREATY_TRADE;貿易協定;Trade Agreement;;;;;;;;;X
DIPPEACE;和平交渉;Offer Peace;;;;;;;;;X
##;;;;;;;;;;;X
DIPROL_AMC_0;%sの統帥権を要求します。\nこれができるのは相手が同盟国の一員である場合だけです。;Assume Military Control of %s.  This is only possible if they are part of your alliance.;;;;;;;;;X
DIPROL_CMC_0;%sに軍の統帥権を戻します。;Cancel Military Control of %s.;;;;;;;;;X
DIPROL_RPUP_0;%sにおける政権の支配をやめます。;End our Control over the Regime in %s.;;;;;;;;;X
DIPROL_SE_0;遠征軍を%sに派遣します。\nどのユニットを他国に派遣するかを選択するインターフェースが開きます。;Send an expeditionary force to %s. This opens up an interface where we can select which unit to give to another nation.;;;;;;;;;X
DIPROL_SE_1;遠征軍の派遣先として選択できるのは同盟国だけです。;We can only send expeditionary forces to allies.;;;;;;;;;X
DIPROL_PUP_0;%sに傀儡政権を樹立します。\nこれは相手の重要拠点の 66\%%以上を支配している場合にのみ可能です。\nこれを行うと相手はこちらの領土要求をすべて受け入れ、我々に対して忠実な政権を樹立します。\nまた彼らは同盟に加入することとなり、我が国はその領土内を通過することができるようになります。;Create a puppet regime in %s. This is only possible when we control more than 66 percent of their key points.  They will then submit to all our territorial demands and install a loyal regime. They will also join our alliance and grant us access through their territory.;;;;;;;;;X
DIPROL_DEMT_0;我々が正当な領有権を持つプロヴィンスの割譲を%sに要求します。;We will ask %s to cede the provinces which are rightfully ours.;;;;;;;;;X
DIPROL_DEMT_1;我々が正当な領有権を持つプロヴィンスの割譲を%sに要求します。;It is against our policy to claim provinces from %s.;;;;;;;;;X
DIPROL_LA_0;我が国はどの軍事同盟にも加入していませんので、当然ながら軍事同盟を脱退することはできません。;We are not part of any Military Alliance so we cannot leave one.;;;;;;;;;X
DIPROL_LA_1;現在の同盟を脱退することはできません。なぜならこれは主要な同盟の1つであり、しかも我が国がその同盟の盟主であるか、あるいは現在戦争中だからです。;We cannot leave our current alliance. This is not possible because it is a major alliance and we lead it or are in a war.;;;;;;;;;X
DIPROL_LA_2;%sとの軍事同盟を脱退します。;We will leave the military alliance with %s.;;;;;;;;;X
DIPROL_IN_0;%sに働きかけて、彼らの政策や考え方を我々に近づけます。;Influence %s to make their policies and views more similar to ours.;;;;;;;;;X
DIPROL_CN_0;%sの政権を我が国に忠実な政権に交替させます。;Replace the government of %s with a government more loyal to us.;;;;;;;;;X
DIPROL_WAR0;開戦すると相手国の領土に軍を進攻させて占領することができるようになります。領土を占領すると、あなたの国が得られる資源の量が増えます。すべての領土を占領すると、その国を併合することが可能となります。;While at war with a nation you can move your troops into its territory and occupy its territory. Occupied territory adds resources to your nation.  When you have fully conquered another nation, you can then annex them.;;;;;;;;;X
DIPROL_WAR1;%sに再び宣戦布告できるのは%s %d 以降です。;You may not declare war upon %s again until %s %d.;;;;;;;;;X
DIPROL_WAR2;同じ軍事同盟に所属しているため、\n%sに宣戦布告することはできません。\n先に同盟を脱退するか、相手国を追放してください。;You may not declare war upon %s, since you are part of the same military alliance. You need to leave the alliance first.;;;;;;;;;X
DIPROL_WAR3;相手は我が国に軍の通行許可を与えています。\nよって彼らに宣戦布告することはできません。;They have granted military access to us, so you cannot declare war.;;;;;;;;;X
DIPROL_WAR4;我が国は民主国家であるため、平時に宣戦布告できるのは、相手国が非常に好戦的で、なおかつ我が国が強硬な介入主義政策をとっている場合のみです。;As a democratic nation, you cannot declare war upon another nation when you are at peace, unless that nation is very Belligerent and you have a firm Interventionist Policy.;;;;;;;;;X
DIPROL_WAR5;不可侵条約を結んでいるため、\n%sに宣戦布告することはできません。;You may not declare war upon %s, since you have a non-aggression pact with them.;;;;;;;;;X
DIPROL_WAR6;%sが我が国の属国であるうちは、宣戦布告することはできません。;You may not declare war upon %s while they are your puppet state.;;;;;;;;;X
DIPROL_WAR7;%sとの友好度が%.0f以上あるうちは、宣戦布告することはできません。;You may not declare war upon %s while relationships between our countries are higher than %.0f.;;;;;;;;;X
DIPROL_WAR8;%sの好戦性が%.0fより低い場合には、宣戦布告することはできません。 (現在の好戦性： %.0f);You may not declare war upon %s while belligerence is lower than %.0f (current is %.0f).;;;;;;;;;X
DIPROL_WAR9;同陣営で戦争中である\n%sに宣戦布告することはできません。;You may not declare war upon %s while at the same side of a war against another country!;;;;;;;;;X
DIPROL_PEACE0;和平交渉を行います。\nこれにより領土境界は戦前の状態に戻ります。;This will make us sue for peace, in which case our pre-war borders will be restored.;;;;;;;;;X
DIPROL_PEACE1;再度の和平交渉ができるのは%s（%d年）以降です。;You must wait until %s %d until you can offer peace again.;;;;;;;;;X
DIPROL_PEACE2;会議の席ですでに和平の要請がなされています。それに回答するまでこちらから和平を申し出ることはできません。;There is already a peace offer on the table and you cannot offer peace until you have responded.;;;;;;;;;X
DIPROL_ANNEX0;国を併合すると、その国のプロヴィンスと軍事ユニットが手に入ります。;By Annexing a nation its provinces and military units become yours eternally and irreversibly.;;;;;;;;;X
DIPROL_ANNEX1;国を併合することができるのは、相手の首都とすべての重要拠点を支配している場合のみです。;You may only annex a nation if you control its capital and all key provinces.;;;;;;;;;X
DIPROL_INV0;%sを我々の軍事同盟に誘います。;This will invite %s to join our Military Alliance.;;;;;;;;;X
DIPROL_INV1;%sはすでに%sとの軍事同盟に参加しています。;%s is already member of a Military Alliance with %s.;;;;;;;;;X
DIPROL_INV2;%sに軍事同盟を要請をする;Offer a military alliance to %s;;;;;;;;;X
DIPROL_INV3;%sとは交戦中です！;We are at war with %s!;;;;;;;;;X
DIPROL_JOIN0;%sに対して、%sと結んでいる軍事同盟に我々も加盟したいとの申し入れを行います。;Send a request to %s that we join the Military Alliance she has with %s.;;;;;;;;;X
DIPROL_JOIN1;すでに軍事同盟に加わっています。;You are already a member of a Military Alliance.;;;;;;;;;X
DIPROL_JOIN2;我が国はこの軍事同盟の一員である%sと交戦中です！;We are at war with %s, which is a member of this Military Alliance!;;;;;;;;;X
DIPROL_JOIN3;かの国は%sが盟主を務める同盟の加盟国です。参加したいときは%sに要請しなければなりません！;They are part of an alliance led by %s. You need to ask %s to join!;;;;;;;;;X
DIPROL_GUARANTEE;%sの独立を保障した場合、むこう5年以内に彼らを攻撃した国に対して我が国は開戦の口実を得ます。;If we guarantee the independence of %s, we will gain a Casus Belli on any country attacking them within the next five years.;;;;;;;;;X
DIPROL_ASKACC;%sに対し、我が国の軍が彼らの国を通過できるように許可を求めます。その許可が与えられた場合、彼らに対して宣戦布告することはできなくなります。;We will ask %s to allow us to march our troops through their country. While we are granted this, we will not be able to declare war upon them.;;;;;;;;;X
DIPROL_REVACC;現在我が国は%sに対し、彼らの軍が我々の領土内を通過する許可を与えています。この許可を取り消すことも可能ですが、そうした場合我が国に対する開戦の口実を与えることになります。;We are currently allowing %s to march their armies through our territory. By revoking this access we will stop them from it.;;;;;;;;;X
DIPROL_CANACC;%sは我が軍の領土内通過を認めています。相手国内に我が国の部隊が残っている間は、こちらから通行許可を破棄することはできません。;%s allows us to pass through their country with our armies. We cannot cancel this while we have troops inside their borders.;;;;;;;;;X
DIPROL_SAT;他国の属国がそれを自由に行うことはできません。;Puppet states of other nations are not free to do that.;;;;;;;;;X
DIPROL_NEGOT;%sと包括的交渉を開始します。;Open up general negotiations with %s.;;;;;;;;;X
DIPROL_TRADE;%sに貿易協定を提案します。;Suggest a Trade Agreement to %s.;;;;;;;;;X
DIPROL_NONAGG;%sに不可侵条約を提案します。;Suggest a non-aggression pact to %s.;;;;;;;;;X
DIPROL_NO_NAP_CANCEL;%sとの不可侵条約の破棄を提案します。;It is against our policy to cancel our NAP with %s.;;;;;;;;;X
DIPROL_NAP_CANCEL;%sとの不可侵条約を破棄します。;Cancel our NAP with %s.;;;;;;;;;X
DIPROL_NO_GUARANTEE;我が国の政策では独立保障できません。;It is against our policy to Guarantee Independence of other countries.;;;;;;;;;X
DIPROL_NO_JOIN_ALLIANCE;我が国の政策では同盟できません。;It is against our policy to join alliances.;;;;;;;;;X
DIPROL_NO_JOIN_ALLIANCE_THEY;かの国の政策では%sと同盟は出来ません。;%s cannot join alliances while at peace because this is against their policy.;;;;;;;;;X
DIPROL_TRADE_EMBARGO;禁輸されているため、貿易交渉は禁止されています。;Trade is forbidden because of a trade embargo.;;;;;;;;;X
DIPROL_TECH_EMBARGO;技術共有が禁止されているため、設計図の取引交渉は禁止されています。;Blue Prints trade is forbidden because of a tech sharing embargo.;;;;;;;;;X
DIPROL_CANCEL_TRADE;貿易協定を破棄します。かの国との友好関係を損なうでしょう。;Break Trade Agreement. This could damage relationships.;;;;;;;;;X
##;;;;;;;;;;;X
#  DIPLOMACY CONFIRMATIONS ? NOTE SPACE IN BEGINNING OF SOME STRINGS!;;;;;;;;;;;X
##;;;;;;;;;;;X
DWMLORD;確認してください;Please Confirm;;;;;;;;;X
DWAREYOUSURE1;(効果はすぐにあらわれ、取り消しはできません);(Effects are immediate and;;;;;;;;;X
DWAREYOUSURE2;;cannot be undone.);;;;;;;;;X
##;;;;;;;;;;;X
#  Ask to join alliance;;;;;;;;;;;X
#  Invite to warpact;;;;;;;;;;;X
##;;;;;;;;;;;X
#  Invite to one of our alliances;;;;;;;;;;;X
AWINV;%sを、我々が次の国と結んでいる ｧY軍事ｧY同盟ｧW に招きます： ｧY;We will invite %s to the ｧYMILITARY ｧYALLIANCE ｧWwe have with ｧY;;;;;;;;;X
##;;;;;;;;;;;X
#  DIPLOMACY INFORMATION WINDOW ? Note space before some strings;;;;;;;;;;;X
##;;;;;;;;;;;X
CONTROLSBY;ｧW次の国に軍隊の統帥権を与えています： ｧY;ｧWGrants Military Control to ｧY;;;;;;;;;X
WECONTROLS;ｧW次の国の軍隊の統帥権を持っています： ｧY;ｧWMilitary Control over ｧY;;;;;;;;;X
WECLAIMSON;ｧW次の国の領土を要求： ｧY;ｧWTerritorial Claims on ｧY;;;;;;;;;X
DIMIL;ｧW次の国とｧY軍事同盟ｧWを締結： ｧY;ｧYMilitary Alliance ｧWwith ｧY;;;;;;;;;X
DIMIL_LONE;は次の同盟の盟主です：;is the leader of the;;;;;;;;;X
DIAGAINST;ｧW  <敵対国> ｧY;ｧW versus ｧY;;;;;;;;;X
DIAND;ｧW と ｧY;ｧW and ｧY;;;;;;;;;X
DIWAR;ｧY戦争中： ｧW<共に戦う国> ｧY;ｧYIn a war ｧWtogether with ｧY;;;;;;;;;X
DIWARALONE;ｧY戦争中： ｧW;ｧYIn a warｧW;;;;;;;;;X
DIACCESS;ｧY軍の通行許可ｧWを得ている国： ｧY;ｧYMilitary Access ｧWthrough ｧY;;;;;;;;;X
DIACCESS2;ｧY軍の通行許可ｧWを与えている国： ｧY;ｧWGrants ｧYMilitary AccessｧW to ｧY;;;;;;;;;X
DIGUAR;ｧY独立を保障しているｧW国： ｧY;ｧYGuaranteeing the independence ｧWof ｧY ;;;;;;;;;X
DIGUAR2;ｧY独立を保障してくれるｧW国： ｧY;ｧYIndependence Guaranteed ｧWbyｧY ;;;;;;;;;X
##;;;;;;;;;;;X
# ERROR MESSAGES;;;;;;;;;;;X
##;;;;;;;;;;;X
# misc errors;;;;;;;;;;;X
NOUNLOADSPACE;閣下、ここで降ろすことはできません。;Sire, we can't unload here.;;;;;;;;;X
###########################################;;;;;;;;;;;X
########### IN-GAME MESSAGES ############;;;;;;;;;;;X
###########################################;;;;;;;;;;;X
##;;;;;;;;;;;X
INVACCEPT;承諾;ACCEPT;;;;;;;;;X
INVDECLINE;辞退;DECLINE;;;;;;;;;X
##;;;;;;;;;;;X
POPDIPLO;次の国からの使節;Envoy from;;;;;;;;;X
POPRESP;どうしますか？;What is your response?;;;;;;;;;X
##;;;;;;;;;;;X
ANSWERINVITATION;%t、%sから以下の要請を受けています;%t, %s invites us to to enter a;;;;;;;;;X
INVMIL;軍事同盟;MILITARY ALLIANCE;;;;;;;;;X
INVALONG;他の加盟国は; along with ;;;;;;;;;X
INWARWITH;彼らが交戦中している国は;They are at war with ;;;;;;;;;X
INV_M_ROLL;%sからの軍事同盟の要請;Military Alliance offer from %s;;;;;;;;;X
##;;;;;;;;;;;X
ANSWERDEMAND1;%t、%sが;%t, %s is;;;;;;;;;X
ANSWERDEMAND2;領土を要求しています。;DEMANDING TERRITORY;;;;;;;;;X
ANSWERDEMAND3;彼らが要求しているプロヴィンスは以下のとおり。;They are asking for the following provinces.;;;;;;;;;X
##;;;;;;;;;;;X
ANSWERNAP1;%t、%sが我が国に以下のことを提案しています;%t, %s offers us a;;;;;;;;;X
ANSWERNAP2;不可侵条約;NON-AGGRESSION PACT;;;;;;;;;X
NAP_ROLL;%sが我が国に不可侵条約を提案しています。;%s offers us a Non-Aggression Pact.;;;;;;;;;X
##;;;;;;;;;;;X
ANSWERJOIN1;%t、%sが;%t, %s wishes to join our;;;;;;;;;X
ANSWERJOIN2;軍事同盟への参加を希望しています。;MILITARY ALLIANCE;;;;;;;;;X
ANSWERJOIN3;敵とする国は;directed against ;;;;;;;;;X
JOIN_ROLL;%sは我々の軍事同盟への参加を望んでいます。;%s asks to join our Military Alliance;;;;;;;;;X
##;;;;;;;;;;;X
AOW_ANNEX;%t、%sが我が国に以下のことを受け入れるよう要求しています;%t, %s wishes us to accept;;;;;;;;;X
AOW_ANNEX2;完全な併合;COMPLETE ANNEXATION;;;;;;;;;X
AOW_ANNEX3;これを受け入れると我々は独立を失い、ゲームから外されます。;By accepting this we are surrendering our independence and will be eliminated from the game.;;;;;;;;;X
ANNEX_ROLL;%sは我が国に独立を放棄するよう要求しています。;%s demands that we surrender our independence.;;;;;;;;;X
##;;;;;;;;;;;X
AOW_MILACC1;%t、%sが我が国に以下のことを求めています;%t, %s asks us for;;;;;;;;;X
AOW_MILACC2;軍隊の通行許可;MILITARY ACCESS;;;;;;;;;X
AOW_MILACC3;これに同意すると、彼らの軍隊に我が国の領土を自由に通過できる許可を与えることになります。;By agreeing to this, we allow their troops to pass freely through our country.;;;;;;;;;X
MILACC_ROLL;%sは軍の通行許可を求めています。;%s asks for military access.;;;;;;;;;X
##;;;;;;;;;;;X
ANSWERPEACEOFF;提供;offering;;;;;;;;;X
ANSWERPEACEDEM;要求;demanding;;;;;;;;;X
ANSWERPEACEWHI;原状回復で講和;a white peace;;;;;;;;;X
ANSWERPEACE1;%t、%sが次のことを提案しています;%t, %s offers us;;;;;;;;;X
ANSWERPEACE2;和平;PEACE;;;;;;;;;X
PEACEPROV;%s;%s;;;;;;;;;X
PEACE_ROLL;%sからの和平の要請;Peace offer from %s;;;;;;;;;X
PEACE_ACCESS;和平の一環として彼らに軍の通行許可を与えます。;We will give them military access as part of the peace proposal.;;;;;;;;;X
PEACE_PUPPET;和平の一環として彼らの属国となります。;We will become their puppet as a part of the peace proposal.;;;;;;;;;X
PEACE_DISARM;我が国は武装解除せねばならないでしょう。;We will demobilize our military.;;;;;;;;;X
WS_1;敵国が支配する領土： %d/%d ＋%d\%%（最小1\%%/プロヴィンスあたり）;Held enemy territory: %d/%d +%d\%% (Min 1\%%/prov);;;;;;;;;X
WS_2;同盟国が支配する領土： %d/%d －%d\%%（最小1\%%/プロヴィンスあたり）;Held friendly territory: %d/%d -%d\%% (Min 1\%%/prov);;;;;;;;;X
WS_3;占領した敵首都： %d（＋%d\%%）;Occupied enemy capitals: %d (+%d\%%);;;;;;;;;X
WS_4;占領された同盟国の首都： %d（－%d\%%）;Occupied friendly capitals: %d (-%d\%%);;;;;;;;;X
WS_SUM;合計： %d\%%（最大100\%%）;Total: %d\%% (Max 100\%%);;;;;;;;;X
###########################################;;;;;;;;;;;X
# BZIP Texts;;;;;;;;;;;X
###########################################;;;;;;;;;;;X
BZIP_COMPRESSING_FILE_WAIT;シナリオファイルの圧縮が済むまでお待ちください。圧縮には15～30秒ほどかかります。コンピュータがフリーズしたように見える場合があります。;Compressing the Scenario File, please wait! This will take about 15-30 seconds. Observe that the computer may seem frozen.;;;;;;;;;X
BZIP_COMPRESSION_FAILED;シナリオファイルの圧縮に失敗しました。テクニカルサポートにお問い合わせください。;The compression of the Scenario File failed. Please contact support.;;;;;;;;;X
BZIP_DECOMPRESSION_FAILED;シナリオファイルの解凍に失敗しました。テクニカルサポートにお問い合わせください。;The decompression of the Scenario File failed. Please contact support.;;;;;;;;;X
###########################################;;;;;;;;;;;X
# VALKYRIENET;;;;;;;;;;;X
###########################################;;;;;;;;;;;X
EN_GAME_NAME;DH;DH;;;;;;;;;X
EN_VERSION;バージョン：;Version: ;;;;;;;;;X
EN_WRONG_VERSION;ご使用のバージョンはホストのゲームに対応していません。;Your version doesn't correspond to the hosted game;;;;;;;;;X
EN_NAME;Valkyrienet;Valkyrienet;;;;;;;;;X
EN_USER_LEFT_CHANNEL;はこのチャンネルから退出しています……;has left the channel...;;;;;;;;;X
EN_HOST_GAME_NAME;のゲーム;s game;;;;;;;;;X
EN_CHOOSE_CHANNEL;一覧からログインするチャンネルを選んでください。;Choose a channel to log into from the list of channels available.;;;;;;;;;X
EN_CHANGING_CHANNEL;チャンネルの変更;Changing Channel;;;;;;;;;X
EN_GETTING_CHANNEL_LIST;チャンネルのリストを取得しています。しばらくお待ちください……;Retrieving list of channels, please wait...;;;;;;;;;X
EN_GAME_CHANNEL_FOUND;ゲームとチャンネルを見つけました！;Game and channel found!;;;;;;;;;X
EN_GAME_NOT_FOUND;リクエストされたゲームが見つかりませんでした。;The requested game was not found.;;;;;;;;;X
EN_CHANNEL_NOT_FOUND;リクエストされたチャンネルに接続することができませんでした。;The requested channel was not connectable.;;;;;;;;;X
EN_NO_NAME_SERVER;サーバーに接続することができません。インターネットに接続されているか確認してください。;The server was not reachable. Please check that you are connected to the Internet.;;;;;;;;;X
EN_SERVER_TIMED_OUT;サーバーからの応答がありません。;The server does not respond.;;;;;;;;;X
EN_CONNECTION_BROKE;接続が切れました。;You were disconnected.;;;;;;;;;X
EN_NO_CONNECTION;接続が無効になっています。インターネットに接続されているか確認してください。;Connection is not active. Please check that you are connected to the internet.;;;;;;;;;X
EN_ERROR_RPC_THREAD;クライアントRPCコール時にエラーが発生しました。;There was an error when the clients RPC was called.;;;;;;;;;X
EN_GAME_INFO_IP_ADDRESS;IPアドレス：;IP Address: ;;;;;;;;;X
EN_GAME_INFO_PLAYER_LIMIT;プレイ可能な最大人数： %d;Maximum Players: %d;;;;;;;;;X
EN_GAME_INFO_HOSTED_BY;オーナー：;Owner:;;;;;;;;;X
EN_GAME_INFO_PLAYERS;プレイヤー：;Player:;;;;;;;;;X
EN_USER_EXISTS_CHANNEL;他のプレイヤーがすでに同名で同じチャンネルに接続しています。名前またはチャンネルを変更してください。;A player with that name is already connected to that channel. Please change name or channel.;;;;;;;;;X
EN_GAME_EXISTS;そのゲームはすでに存在しています。;That game already exists.;;;;;;;;;X
EN_GAME_LIMIT_REACHED;このチャンネルでこれ以上ゲームを作成することはできません。;There cannot be any more games created on this channel;;;;;;;;;X
EN_GAME_USER_ALREADY_JOINED;ゲームにログイン済みです。;You are already logged into a game.;;;;;;;;;X
EN_GAME_OK;ゲームに接続しました。;You were connected to the game.;;;;;;;;;X
EN_GAME_FULL;プレイヤーの数がプレイ可能な最大人数に達しているため、ゲームに接続することができませんでした。;You could not connect to that game, since it was already at maximum players.;;;;;;;;;X
EN_GAME_JOINED_FAILED_NOT_EXIST;このゲームはすでに存在しません。;The game does not exist anymore.;;;;;;;;;X
